データベース設計の初期段階で、業務内容を分析して必要なデータや管理方法を検討する作業。,概念設計,論理設計,物理設計,エンティティ,概念設計
概念設計の結果をシステム化の対象範囲に限定して定義すること。実際の業務での画面や帳票を参考にして、システムで必要とするデータを洗い出す。,物理設計,概念設計,副問合せ,論理設計,論理設計
論理設計の結果を用いて、処理内容などの観点から、ハードウェアの選択や、最適配置などの検討を行うこと。主キーやインデックスの設定、必要容量の算定も行う。,物理設計,第1正規化,論理設計,概念設計,物理設計
データの矛盾や重複(冗長性)があり、DBMSへの負担がかかる表の構造。,第1正規化,非正規形,第2正規化,第3正規化,非正規形
非正規形から、重複して繰り返し現れる項目を排除すること。,第2正規化,第1正規化,第3正規化,非正規形,第1正規化
第1正規形から、主キーと関連のある項目を別のテーブルに分割すること。,第2正規化,第1正規化,第3正規化,アトリビュート,第2正規化
第2正規形から、主キーでない項目について、関連のある項目を別のテーブルに分割すること。,第3正規化,第1正規化,第2正規化,リレーションシップ,第3正規化
データベース設計において、データの関連性をモデル化するために、「実体」、「属性」、「関係」の3つの要素を用いて表す図。,整合性制約,副問合せ,E-R図,エンティティ
一単位として扱われるデータのまとまりや、データベースとして表現すべき対象物のこと。物理設計の段階では、表に相当する。,リレーションシップ,アトリビュート,エンティティ,整合性制約,エンティティ
エンティティが持つ特性、特徴などの値。,エンティティ,リレーションシップ,アトリビュート,副問合せ,アトリビュート
エンティティとエンティティの相互関係。,エンティティ,リレーションシップ,アトリビュート,E-R図,リレーションシップ
レコードの追加や削除が勝手に行われないようにするためのデータベースの参照関係の整合性に関する規則。,整合性制約,副問合せ,概念設計,E-R図,整合性制約
ある表に対して問い合わせを行い、その結果を利用してさらに、次の問い合わせを行う時の最初の問い合わせ。,整合性制約,副問合せ,第1正規化,リレーションシップ,副問合せ
