基準値の倍数のうち、数値以上の最小値を表示する。ただし、基準値が負、数値が正の場合、エラーとなり、基準値と数値が負の場合、数値以下の最大値となる。,FLOOR,ABS,CEILING,MEDIAN,CEILING
基準値の倍数のうち、数値以上の最小値を表示する。ただし、基準値が負、数値が正の場合、エラーとなり、基準値と数値が負の場合、数値以下の最大値となる。,INDEX,COLUMN,FLOOR,RANDBETWEEN,FLOOR
指定された数値の絶対値（ある数が０からどれだけ離れているか）を表す値を表示する。,ABS,FORECAST,OFFSET,ROW,ABS
再計算が行われるごとに、最小値以上最大値以下の乱数を返す。なお、最小値及び最大値は正と負どちらも設定できる。,SUBSTITUTE,IFERROR,RANDBETWEEN,MODE,RANDBETWEEN
回帰直線上の値を返す。,COLUMN,ROW,IFERROR,FORECAST,FORECAST
指定された範囲(数値)の中央値を求める。,MODE,MEDIAN,COLUMN,ROW,MEDIAN
指定された範囲で、最も頻繁に出現する値(最頻値)を求める。,OFFSET,INDEX,MODE,MEDIAN,MODE
指定した参照から行数と列数だけシフトした位置にあるセル範囲の参照を返す。セル範囲は、［高さ］と［幅］で指定された範囲となる。,INDEX,IFERROR,OFFSET,FLOOR,OFFSET
参照で指定したセルの列番号を求める。引数を省略した場合は、関数を入力したセルの列番号を表示する。,FLOOR,ABS,COLUMN,ROW,COLUMN
参照で指定したセルの行番号を求める。引数を省略した場合は、関数を入力したセルの行番号を表示する。,ROW,MODE,FORECAST,RANDBETWEEN,ROW
文字列中の特定の文字（検索文字列）を他の文字（置換文字列）に置き換える。「置換対象」を指定すると、検索文字列中に複数の対象文字列がある場合、「置換対象」で指定した番号の文字列のみを置き換える。「置換対象」指定しないと全ての文字列を置き換える。,IFERROR,SUBSTITUTE,FORECAST,MEDIAN,SUBSTITUTE
値に設定した式がエラーのときに、エラーの場合の値を返す。エラーではないときは、値に設定した式の値を返す。,INDEX,CEILING,FLOOR,IFERROR,IFERROR
参照で指定した領域のうち、領域番号で指定された領域内の行番号と列番号が交差したセルのデータを表示する。,CEILING,MODE,INDEX,OFFSET,INDEX
データベース内の指定された対象範囲のフィールド(列)を検索し、条件を満たすレコードの合計を求める,SUM,DSUM,DCOUNTA,VLOOKUP,DSUM
データベース内の指定された対象範囲のフィールド(列)を検索し、条件を満たすレコードの平均を求める。,DSUM,DMAX,AVERAGE,DAVERAGE,DAVERAGE
データベース内の指定された対象範囲のフィールド(列)を検索し、条件を満たすレコードの最大値を求める。,DMIN,DMAX,DCOUNT,DSUM,DMAX
データベース内の指定された対象範囲のフィールド(列)を検索し、条件を満たすレコードの最小値を求める,DMIN,DMAX,DSUM,DCOUNTA,DMIN
データベース内の指定された対象範囲のフィールド(列)を検索し、条件を満たすセル(数値が入力されているセル)の個数を求める。,DSUM,DCOUNT,ROUND,DCOUNTA,DCOUNT
データベース内の指定された対象範囲のフィールド(列)を検索し、条件を満たすセル(データ(空白以外すべて)が入力されているセル)の個数を求める。,DSUM,DCOUNT,ROUND,DCOUNTA,DCOUNTA
