「法令遵守」と言われるが、企業が法律や条例を守るだけではなく、企業倫理や社会貢献などを含めて自発的に取り組んでいくこと。,コアコンピタンス,コンプライアンス,セキュリティポリシー,ERP,コンプライアンス
企業や団体などの組織における情報セキュリティに関する基本的な方針であり、アクセス権限や保護対象範囲の設定などを具体的にまとめたもの。,CRM,BPR,セキュリティポリシー,コンプライアンス,セキュリティポリシー
企業の持つ人材、資金、設備、情報など様々な経営資源を一元的に管理、有効活用し、業務の効率化を測るための経営全体の最適化を目指す手法。,CRM,ASP,ERP,SaaS,ERP
企業のすべての部門と顧客との間に信頼関係を築いて、企業と顧客の利益をともに向上することを目指す経営手法。,BPR,CRM,ERP,IaaS,CRM
企業活動に関する売り上げなどの目標を設定して、目標達成のための業務内容、流れ、組織を分析し、最適化や再構築すること。,アウトソーシング,アライアンス,BPR,ERP,BPR
企業活動において、競合他社にはない自社ならではの中枢・中核となる強み。,コアコンピタンス,コンプライアンス,アライアンス,BPR,コアコンピタンス
コスト削減などのために、自社の業務や機能の一部または全部を、それを専門とする外部の専門業者に委託すること。,コアコンピタンス,アライアンス,アウトソーシング,ホスティングサービス,アウトソーシング
複数の企業が互いに経済的なメリットを期待するために、企業が連携して協力体制を構築すること。,アウトソーシング,アライアンス,CRM,BPR,アライアンス
顧客のサーバ自体を、ネットワーク環境の整った場所に設置するサービス。,ホスティングサービス,アライアンス,ハウジングサービス,ASP,ハウジングサービス
情報通信ネットワークを利用して、自社のサーバを貸し出すサービス。,ASP,SaaS,ホスティングサービス,ハウジングサービス,ホスティングサービス
インターネット上でアプリケーションソフトウェアや環境を提供するサービス提供者のこと。,ERP,CRM,ASP,PaaS,ASP
サービス提供者がインターネットを経由して、アプリケーションソフトウェアなどを提供するサービスのこと。,ASP,PaaS,SaaS,IaaS,SaaS
インターネットを経由して、アプリケーションソフトウェアが稼働するための環境を提供するサービスのこと。,PaaS,SaaS,ASP,IaaS,PaaS
インターネットを経由して、ハードディスクや仮想サーバなどの機材やインフラ環境を提供するサービスのこと。,PaaS,SaaS,ASP,IaaS,IaaS
