4つの原則を守りながら、新しいアイディアを引き出すことを目的に行われる話し合いの技法,KJ法,DFD,ブレーンストーミング,ファンチャート,ブレーンストーミング
問題点を明確にするために、情報収集→カード・グループ化→図解化→文章化の手順で行われるデータの整理方法。,線形計画法,回帰分析,KJ法,PPM分析,KJ法
問題を解決するために、複数の条件とその条件に対応する処理を表形式に示した図。,DFD,パート図,決定表,ABC分析,決定表
4つの記号(1組の平行線、矢印、円、四角形)を用いて、データの流れと処理の関係を表す図。,パート図,DFD,散布図,特性要因図,DFD
アローダイアグラムともいい、プロジェクトの日程計画や日程管理に用いられ、相互関係にある作業を矢印でつないだ図。,クリティカルパス,特性要因図,パート図,Zグラフ,パート図
パート図において、作業の開始から終了までの所要日数が最長となる経路。高尾経路の一部に遅れが生じると、作業全体のスケジュールに影響する。,Zグラフ,回帰分析,線形計画法,クリティカルパス,クリティカルパス
パレート図を使用して、各項目を重要な順に3つのグループに分けて、在庫管理などで分析する方法。,Zグラフ,SWOT分析,PPM分析,ABC分析,ABC分析
ABC分析のときに用いられることが多いグラフで、データを降順に並べた棒グラフと、その累計比率を表す折れ線グラフからなるグラフ。,Zグラフ,クリティカルパス,パレート図,ヒストグラム,パレート図
移動合計値(過去1年間分の売上累計)という特徴があるデータを用いて、一定期間の売上高の傾向を分析するときに用いる。,Zグラフ,散布図,ヒストグラム,PPM分析,Zグラフ
相関関係にある二つのデータ間の関係や傾向を分析して、結果を予測すること。,散布図,SWOT分析,回帰分析,PPM分析,回帰分析
二つの項目の間の相関関係の有無などを示すグラフ。,クリティカルパス,散布図,特性要因図,パレート図,散布図
二つの項目の間で、一つが増加すると、もう一つも増加する関係で、散布図においては、点のばらつき具合が右上がりの状態。,正の相関,負の相関,DFD,ブレーンストーミング,正の相関
二つの項目の間で、一つが増加すると、もう一つも減少する関係で、散布図においては、点のばらつき具合が右下がりの状態。,正の相関,負の相関,DFD,回帰直線,負の相関
相関関係にあるデータ間の中心的な分布傾向を表す直線。,線形計画法,回帰直線,KJ法,PPM分析,回帰直線
費用を最小限に抑えて最大の利益を得るための生産計画など、複数の制約条件の中で、最大(最小)値を求める手法のこと。,回帰直線,DFD,線形計画法,ヒストグラム,線形計画法
データ範囲をいくつかの区間に分け、各区間に入るデータの数を柱状で表したグラフ。,Zグラフ,ヒストグラム,パレート図,パート図,ヒストグラム
結果とそれに影響を及ぼしたと思われる原因の関係を体系的に表した図。直接的な原因と間接的な原因に分別して、真の問題点を明確にする効果がある。,PPM分析,ABC分析,特性要因図,SWOT分析,特性要因図
ある時点のデータを基準に、その後のデータの変動を比率で表す折れ線グラフのこと。,ヒストグラム,SWOT分析,クリティカルパス,ファンチャート,ファンチャート
自社の現状を、強み・弱み・機会・脅威の4つの要素に整理して、市場環境を分析すること。,ABC分析,PPM分析,決定表,SWOT分析,SWOT分析
事業管理手法の一つで、自社の製品やサービスを、市場の成長率と市場の占有率から、金のなる木・花形・問題児・負け犬の４つの区分に分類して、事業展開を決定するための手法。,PPM分析,SWOT分析,ABC分析,特性要因図,PPM分析
