半導体基板の上に、複数の電子部品を組み込んだ電子回路。,CPU,制御装置,集積回路,RAM,集積回路
電源を切っても記憶内容が消えない、読み取り専用のメモリ。,演算装置,RAM,ROM,SSD,ROM
電源を切ると記憶内容が消える、書き込みと読み取りが可能なメモリ。,SSD,DVD,RAM,ROM,RAM
プログラムを解読して計算処理などを行い、各装置を制御するコンピュータの中心部分。,演算装置,制御装置,CPU,SSD,CPU
コンピュータにおける五大装置の中で、記憶装置の命令を取り出して解読し、各装置に指示を与える装置。,主記憶装置,補助記憶装置,制御装置,演算装置,制御装置
コンピュータにおける五大装置の中で、データの四則計算や比較判断を行う装置。,制御装置,出力装置,補助記憶装置,演算装置,演算装置
コンピュータにおける五大装置の中で、プログラムやデータをためておく装置。,主記憶装置,補助記憶装置,記憶装置,制御装置,記憶装置
記憶装置のうちコンピュータ本体に組み込まれ、CPUから直接データの読み書きできる装置。メモリとも呼ばれる。,主記憶装置,記憶装置,制御装置,補助記憶装置,主記憶装置
記憶装置のうち、CPUから直接データの読み書きできない記憶装置。電源を切っても記憶内容は消えない。,出力装置,補助記憶装置,演算装置,SSD,補助記憶装置
複数の金属製の円盤を回転させ、磁気をを利用してデータの読み書きを行う補助記憶装置。,SSD,ハードディスク,DVD,ブルーレイ,ハードディスク
大容量の半導体メモリを用いた補助記憶装置。ハードディスクに比べ、省電力、衝撃耐久性、起動速度などに優れている。,DVD,ハードディスク,ブルーレイ,SSD,SSD
光ディスクに、赤色レーザ光線を用いて約4.7GB以上読み書きできる記憶媒体。映像の記録などに用いる。,ハードディスク,ブルーレイ,SSD,DVD,DVD
光ディスクに、青紫色レーザ光線を用いて約25GB読み書きできる記憶媒体。高画質の映像を記録できる。,SSD,ブルーレイ,DVD,フラッシュメモリ,ブルーレイ
電源を切っても記憶内容が消えない不揮発性の半導体を用いて読み書きする補助記憶装置。,SSD,ブルーレイ,DVD,フラッシュメモリ,フラッシュメモリ
コンピュータにおける五大装置の中で、プログラムやデータを主記憶装置に読み込む装置。,出力装置,タッチパネル,入力装置,制御装置,入力装置
ディスプレイ上のマークやボタンを指やペンで触れることによりデータを入力する装置,タッチパネル,バーコードリーダ,イメージスキャナ,入力装置,タッチパネル
写真や絵、印刷物などを光学的に読み取り、ディジタルデータとして入力する装置。,バーコードリーダ,Bluetooth,イメージスキャナ,出力装置,イメージスキャナ
商品などについたバーコードを光学的に読み取って入力する装置。,インクジェットプリンタ,イメージスキャナ,バーコードリーダ,プロジェクタ,バーコードリーダ
コンピュータにおける五大装置の中で、データを処理結果を表示したり、印字したりする装置,入力装置,バーコードリーダ,イメージスキャナ,出力装置,出力装置
細かな液状のインクを用紙に吹き付けて印字する出力装置,レーザープリンタ,インクジェットプリンタ,インタフェース,USB,インクジェットプリンタ
印字データをレーザ光により感圧ドラムにあて、トナーを付着させてから用紙に転写する出力装置,インクジェットプリンタ,イメージスキャナ,レーザプリンタ,出力装置,レーザプリンタ
パソコンの画面やDVDの映像などをスクリーンや壁などに投影する装置。,インタフェース,USB,HDMI,プロジェクタ,プロジェクタ
コンピュータ本体と情報機器を接続して、データをやりとりするための規格,USB,HDMI,Bluetooth,インタフェース,インタフェース
一つの受け口で最大127台までの情報機器を入力できるインタフェース規格,USB,HDMI,Bluetooth,インタフェース,USB
ディジタル家電やAV機器で使われる映像や音声の入出力用のインタフェース規格,USB,HDMI,Bluetooth,インタフェース,HDMI
電波を使って、数mから数十m程度の近距離感でのデータ通信に利用されるインタフェース規格,USB,HDMI,Bluetooth,インタフェース,Bluetooth
コンピュータの操作を、ボタンやアイコンを選択することで直感的に簡単に行えるようにした操作環境,アイコン,GUI,スクロール,カーソル,GUI
コンピュータを直感的に操作できるようにしたディスプレイ上の小さな絵文字,アイコン,GUI,スクロール,カーソル,アイコン
画面上データの入力位置や操作位置を示すしるし。,アイコン,GUI,スクロール,カーソル,カーソル
画面上に表示しきれない文字や画像を見るために、表示範囲を移動させる操作,アイコン,GUI,スクロール,カーソル,スクロール
数値を、０と１の２種類の数字のみで表現したもの,ビット,バイト,フォルダ,2進数,2進数
２進数の１桁で表される情報の最小単位,バイト,ビット,ms,μs,ビット
２進数の８桁で表される情報の基本単位,ビット,バイト,ns,ps,バイト
処理速度の単位で、1 000(千)分の１秒。※三桁カンマの代わりに、空白を使用している。,μs,ns,ms,fs,ms
処理速度の単位で、1 000 000(百万)分の１秒。※三桁カンマの代わりに、空白を使用している。,ns,fs,μs,ps,μs
処理速度の単位で、1 000 000 000(十億)分の１秒。※三桁カンマの代わりに、空白を使用している。,ns,fs,ps,ms,ns
処理速度の単位で、1 000 000 000 000(一兆)分の１秒。※三桁カンマの代わりに、空白を使用している。,fs,ps,ns,μs,ps
処理速度の単位で、1 000 000 000 000 000(千兆)分の１秒。※三桁カンマの代わりに、空白を使用している。,ns,ps,fs,μs,fs
記憶容量の単位で、約1 000(千)バイト(B)。※三桁カンマの代わりに、空白を使用している。,MB,KB,GB,TB,KB
記憶容量の単位で、約1 000 000(百万)バイト(B)。約1 000KB。※三桁カンマの代わりに、空白を使用している。,PB,MB,KB,TB,MB
記憶容量の単位で、約1 000 000 000(十億)バイト(B)。約1 000MB。※三桁カンマの代わりに、空白を使用している。,GB,TB,KB,TB,GB
記憶容量の単位で、約1 000 000 000 000(一兆)バイト(B)。約1 000GB。※三桁カンマの代わりに、空白を使用している。,KB,TB,KB,fs,TB
記憶容量の単位で、約1 000 000 000 000 000(千兆)バイト(B)。約1 000TB。※三桁カンマの代わりに、空白を使用している。,MB,KB,PB,TB,PB
記憶媒体を利用できるようにするための作業。初期化ともいう。,フォルダ,リアルタイム処理,フォーマット,バッチ処理,フォーマット
データを記憶媒体に保存する際に付ける名前,フォーマット,ファイル名,バッチ処理,EOS,ファイル名
記憶媒体でファイルを分類、整理するために作られる保存場所,フォーマット,バーコード,フォルダ,JANコード,フォルダ
発生したデータを一定期間または一定量ためておき、一括して処理する方式,フォーマット,バーコード,リアルタイム処理,バッチ処理,バッチ処理
発生したデータを即座に処理する方式,リアルタイム処理,バッチ処理,フォーマット,バーコード,リアルタイム処理
企業間の商品の受注義務・発注義務をオンラインで結ばれたコンピュータを用いて、効率的に行う電子発注システム。,EC,POSシステム,二次元バーコード,EOS,EOS
インターネットを利用して、商品やサービスの取引を行うしくみ,バーコード,POSシステム,EOS,EC,EC
販売店のレジで商品のバーコードを読み取ることで。売上情報を収集して記録するしくみ,POSシステム,EOS,EC,RFID,POSシステム
横方向に並んだ直線の太さや間隔によって、データを記録したもの。商品情報などに利用されている,JANコード,バーコード,2次元バーコード,非接触型ICカード,バーコード
JISによって規格化されたバーコードで、日本の共通商品コードになっている,JANコード,バーコード,2次元バーコード,IoT,JANコード
小さな正方形の点を縦横に並べ、どの方向からも正確に読み取れるコード。バーコードの数百倍の情報を記録できる,二次元バーコード,JANコード,バーコード,AI,二次元バーコード
無線通信によりICタグからの情報を読み書きし、商品を管理する技術,非接触型ICカード,IoT,POSシステム,RFID,RFID
内部に集積回路とアンテナを内蔵し、電波を利用してデータの読み書きができるカード,非接触型ICカード,EOS,二次元バーコード,EC,非接触型ICカード
